Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,9s,9 W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/9,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
34,Adrian Mannarino [FRA],60,1.03,8834,50.4%,29,12-17,41.4%,19.1%,152,82-70,53.9%,1395,712-683,51.0%,01:50,43.5,44.9,43.7%,165,378,0.54,2.5,6.3,1.09,2.8,59.6%,214,359,0.52,2.4,6.0,0.95,2.4,37.3%,38.7%,9.3%,3.5%,28.4%,51.2%,23.5%,6.3,2.4,68.5,76.0,34-26,56.7%,63.7%,63.4%,264,6.0%,129,2.9%,7.4%,60.5%,70.6%,53.1%,57.3%,79.0%,6.3,2.3
35,Tomas Martin Etcheverry [ARG],49,1.06,7863,50.9%,25,10-15,40.0%,19.2%,130,71-59,54.6%,1219,636-583,52.2%,01:55,43.5,43.1,37.0%,141,381,0.63,2.9,7.8,1.08,2.9,62.3%,195,313,0.51,2.4,6.4,0.91,2.4,38.1%,37.9%,5.2%,3.4%,31.0%,50.1%,23.3%,6.6,2.5,58.0,93.7,27-22,55.1%,64.2%,62.5%,306,7.9%,80,2.1%,5.7%,63.9%,70.6%,52.9%,56.1%,80.8%,6.3,2.3
36,Ugo Humbert [FRA],46,1.00,6485,50.0%,24,9-15,37.5%,21.4%,112,58-54,51.8%,1004,508-496,50.6%,01:41,41.4,42.9,33.2%,100,301,0.60,2.7,6.5,0.89,2.2,59.6%,143,240,0.48,2.1,5.2,0.87,2.1,36.5%,36.6%,7.0%,3.8%,28.8%,49.2%,20.0%,6.5,2.4,46.5,81.9,24-22,52.2%,63.6%,63.1%,269,8.3%,136,4.2%,10.6%,60.3%,72.7%,49.6%,55.5%,80.8%,6.4,2.3
37,Laslo Djere [SRB],60,1.00,8700,50.1%,29,17-12,58.6%,19.3%,150,83-67,55.3%,1357,679-678,50.0%,01:43,41.1,42.5,36.5%,126,345,0.50,2.3,5.8,0.84,2.1,65.1%,224,344,0.51,2.3,5.7,0.80,2.0,35.1%,34.9%,6.3%,3.7%,26.8%,48.7%,18.4%,6.3,2.2,69.0,81.4,33-27,55.0%,64.8%,64.6%,330,7.5%,164,3.7%,9.5%,60.6%,73.2%,51.8%,57.3%,82.2%,6.5,2.3
38,Lorenzo Sonego [ITA],55,0.99,7640,49.7%,28,12-16,42.9%,20.0%,140,66-74,47.1%,1231,609-622,49.5%,01:42,39.9,43.9,39.8%,104,261,0.42,1.9,4.7,0.74,1.9,62.7%,180,287,0.47,2.1,5.2,0.76,1.9,34.0%,33.2%,5.0%,3.7%,26.1%,46.5%,16.8%,6.2,2.1,40.0,60.3,26-29,47.3%,65.6%,64.8%,262,6.9%,98,2.6%,7.8%,66.8%,73.1%,50.3%,54.5%,82.5%,6.2,2.1
39,Mackenzie Mcdonald [USA],66,1.05,9371,50.7%,24,12-12,50.0%,15.2%,158,89-69,56.3%,1458,750-708,51.4%,01:39,41.5,42.0,40.0%,173,432,0.59,2.7,6.5,1.09,2.6,60.5%,233,385,0.53,2.4,5.8,0.96,2.3,38.5%,38.4%,6.6%,4.3%,30.3%,52.3%,23.7%,6.6,2.5,64.0,95.0,38-28,57.6%,63.5%,62.8%,331,7.2%,143,3.1%,8.6%,63.6%,70.4%,51.4%,56.2%,79.1%,6.3,2.3
40,Stan Wawrinka [SUI],48,1.03,7304,50.6%,26,10-16,38.5%,20.3%,128,69-59,53.9%,1177,611-566,51.9%,01:42,38.3,40.2,40.5%,113,279,0.48,2.2,5.8,0.88,2.4,66.8%,191,286,0.48,2.2,6.0,0.74,2.0,34.6%,34.8%,6.6%,3.2%,26.8%,46.6%,19.3%,6.2,2.2,43.5,51.9,27-21,56.3%,66.5%,64.3%,347,9.5%,72,2.0%,4.5%,56.8%,76.0%,54.0%,56.5%,84.0%,6.2,2.1
41,Andy Murray [GBR],32,1.00,5708,49.9%,22,12-10,54.5%,24.2%,91,45-46,49.5%,866,433-433,50.0%,02:31,52.9,50.6,31.9%,84,263,0.61,2.9,8.2,0.92,2.6,61.2%,137,224,0.51,2.5,7.0,0.96,2.7,36.4%,38.3%,8.9%,2.4%,29.1%,50.1%,19.5%,6.7,2.5,56.0,71.0,17-15,53.1%,63.8%,63.6%,155,5.5%,82,2.9%,7.6%,61.5%,71.3%,51.7%,55.9%,80.0%,6.4,2.3
42,Roberto Bautista Agut [ESP],43,1.06,7042,50.6%,25,12-13,48.0%,22.3%,112,54-58,48.2%,1091,554-537,50.8%,01:56,44.6,42.6,33.5%,110,328,0.61,2.9,7.6,0.98,2.6,60.8%,163,268,0.49,2.4,6.2,0.94,2.4,36.8%,39.4%,10.6%,2.6%,28.7%,50.6%,20.3%,6.7,2.5,59.0,67.9,20-23,46.5%,65.1%,65.0%,139,4.1%,71,2.1%,6.1%,65.7%,70.0%,55.7%,59.3%,80.9%,6.2,2.2
43,Max Purcell [AUS],30,1.01,4681,50.2%,12,03-9,25.0%,15.6%,77,40-37,51.9%,740,382-358,51.6%,01:38,38.3,37.8,40.2%,78,194,0.52,2.5,6.5,1.01,2.6,68.8%,141,205,0.56,2.7,6.8,0.83,2.1,35.9%,36.0%,7.8%,4.2%,28.1%,48.3%,21.0%,6.3,2.2,68.0,101.7,16-14,53.3%,64.4%,61.9%,267,11.4%,68,2.9%,7.1%,59.4%,73.2%,51.6%,55.6%,82.6%,6.4,2.3
44,Arthur Fils [FRA],38,1.06,5834,51.0%,16,09-7,56.3%,17.0%,94,55-39,58.5%,905,471-434,52.0%,01:43,41.8,40.4,36.9%,101,274,0.61,2.9,7.2,1.07,2.7,64.3%,151,235,0.52,2.5,6.2,0.89,2.2,37.7%,37.5%,6.5%,4.1%,29.6%,50.8%,22.4%,6.5,2.4,60.5,107.3,23-15,60.5%,64.5%,65.0%,208,7.2%,134,4.6%,11.8%,61.0%,73.5%,50.4%,57.2%,81.5%,6.4,2.3
45,Alexei Popyrin [AUS],50,1.01,8811,50.3%,33,19-14,57.6%,24.1%,137,74-63,54.0%,1392,701-691,50.4%,02:09,46.9,43.8,34.7%,114,329,0.47,2.4,6.6,0.83,2.3,64.7%,200,309,0.44,2.3,6.2,0.80,2.2,33.7%,32.9%,5.9%,4.1%,26.3%,46.0%,16.4%,6.3,2.1,73.0,115.8,29-21,58.0%,66.7%,64.9%,509,11.5%,155,3.5%,8.9%,60.7%,76.8%,51.1%,56.1%,84.3%,6.4,2.1
46,Yoshihito Nishioka [JPN],41,0.97,6791,49.3%,19,09-10,47.4%,17.1%,111,55-56,49.5%,1052,518-534,49.2%,01:43,38.0,37.2,38.4%,123,320,0.61,2.9,7.8,1.11,3.0,54.1%,152,281,0.54,2.5,6.9,1.16,3.1,37.2%,39.3%,11.1%,3.8%,28.4%,51.8%,23.3%,6.5,2.4,55.0,64.0,21-20,51.2%,61.6%,61.8%,96,2.8%,71,2.1%,6.2%,65.8%,64.8%,55.4%,59.0%,75.4%,6.4,2.5
47,Miomir Kecma11ic [SRB],55,0.98,8322,49.6%,31,15-16,48.4%,23.5%,132,62-70,47.0%,1272,621-651,48.8%,01:42,42.6,40.5,39.8%,137,344,0.54,2.6,6.3,1.04,2.5,61.1%,231,378,0.60,2.9,6.9,1.11,2.7,37.0%,38.3%,9.1%,3.5%,27.8%,51.5%,21.4%,6.6,2.4,73.5,111.0,26-29,47.3%,62.4%,61.8%,219,5.3%,96,2.3%,6.0%,60.9%,68.2%,53.3%,56.7%,76.7%,6.5,2.5
48,Matteo Arnaldi [ITA],47,1.00,7200,50.2%,19,11-8,57.9%,15.1%,126,71-55,56.3%,1117,564-553,50.5%,01:43,38.3,40.2,38.6%,115,298,0.54,2.4,6.3,0.91,2.4,65.5%,220,336,0.59,2.7,7.1,0.92,2.5,37.4%,36.9%,5.5%,4.0%,29.3%,50.3%,20.8%,6.4,2.4,98.5,136.4,28-19,59.6%,62.4%,62.4%,228,6.2%,136,3.7%,9.3%,60.1%,68.4%,53.4%,58.8%,79.5%,6.5,2.4
49,Daniel Altmaier [GER],42,1.00,6500,50.2%,21,11-10,52.4%,19.1%,110,57-53,51.8%,1014,515-499,50.8%,01:45,40.0,40.6,36.5%,105,288,0.57,2.6,6.9,0.95,2.5,64.5%,176,273,0.54,2.5,6.5,0.88,2.3,36.3%,36.6%,7.1%,3.6%,27.8%,49.7%,20.7%,6.4,2.3,82.0,109.1,20-22,47.6%,63.9%,62.8%,245,7.5%,90,2.8%,8.0%,65.7%,69.9%,52.3%,56.9%,80.9%,6.4,2.3
50,Aleksandar Vukic [AUS],45,1.03,7015,50.5%,22,12-10,54.5%,19.5%,113,61-52,54.0%,1120,579-541,51.7%,01:39,39.3,38.0,39.3%,108,275,0.49,2.4,6.1,0.96,2.4,63.2%,158,250,0.44,2.2,5.6,0.81,2.0,35.0%,35.5%,7.7%,3.5%,28.2%,46.2%,19.4%,6.3,2.2,102.0,139.0,26-19,57.8%,65.9%,63.8%,372,10.6%,93,2.6%,6.6%,59.8%,74.4%,53.3%,57.1%,83.7%,6.2,2.1
