Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,9s,9 W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/9,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
35,Jasmine Paolini [ITA],56,1.00,7070,50.0%,10,06-4,60.0%,7.4%,135,68-67,50.4%,1080,536-544,49.6%,01:34,38.9,44.5,45.8%,187,408,0.76,3.0,7.3,1.39,3.3,54.6%,236,432,0.79,3.2,7.7,1.45,3.5,44.0%,42.7%,4.2%,5.3%,37.6%,54.6%,35.0%,6.5,2.9,74.5,108.3,30-26,53.6%,55.9%,57.0%,42,1.2%,97,2.7%,8.8%,69.2%,59.2%,48.5%,53.2%,64.0%,6.6,2.9
36,Karolina Pliskova [CZE],40,0.99,5061,49.9%,11,10-23,9.1%,12.1%,91,40-51,44.0%,776,391-385,50.4%,01:24,36.8,39.7,46.6%,124,266,0.69,2.9,6.7,1.36,3.1,54.6%,147,269,0.69,3.0,6.7,1.34,3.1,42.0%,40.7%,5.8%,6.2%,34.0%,54.1%,32.0%,6.5,2.7,30.0,54.7,17-23,42.5%,57.8%,58.0%,226,8.9%,172,6.8%,19.5%,65.1%,68.1%,38.6%,48.0%,68.6%,6.5,2.7
37,Xin Yu Wang [CHN],53,0.99,6553,49.6%,19,09-10,47.4%,15.0%,127,69-58,54.3%,988,496-492,50.2%,01:25,35.4,41.1,45.1%,170,377,0.76,3.0,7.1,1.34,3.2,54.3%,196,361,0.74,2.8,6.8,1.30,3.1,42.8%,41.0%,3.6%,5.4%,36.3%,54.0%,34.2%,6.8,2.9,88.0,111.0,30-23,56.6%,56.9%,58.7%,93,3.0%,159,5.0%,11.6%,56.5%,63.6%,48.3%,54.7%,66.4%,6.4,2.8
38,Sloane Stephens [USA],51,1.05,7149,51.0%,12,6-23,50.0%,10.1%,119,67-52,56.3%,1091,573-518,52.5%,01:34,40.4,40.3,50.0%,216,432,0.79,3.6,8.5,1.82,4.2,53.6%,215,401,0.74,3.4,7.9,1.56,3.6,45.1%,43.4%,2.5%,4.9%,38.0%,56.6%,39.4%,6.6,3.0,67.5,124.0,29-22,56.9%,57.0%,58.0%,64,1.8%,109,3.1%,10.1%,69.6%,61.1%,47.5%,52.9%,65.7%,6.6,2.8
39,Petra Martić [CRO],40,1.02,5559,50.1%,11,03-8,27.3%,11.8%,93,44-49,47.3%,851,426-425,50.1%,01:39,42.6,42.8,41.5%,110,265,0.62,2.8,6.6,1.18,2.8,56.0%,139,248,0.58,2.7,6.2,1.17,2.7,39.9%,38.4%,3.8%,4.9%,34.0%,51.7%,25.8%,6.7,2.7,53.0,62.5,20-20,50.0%,60.7%,61.0%,176,6.5%,124,4.6%,10.8%,57.6%,69.1%,49.3%,55.3%,74.4%,6.4,2.5
40,Anna Blinkova [RUS],58,1.00,8143,49.8%,12,6-23,50.0%,8.8%,136,70-66,51.5%,1224,614-610,50.2%,01:34,40.3,40.4,46.0%,224,487,0.79,3.6,8.4,1.65,3.9,53.5%,252,471,0.77,3.5,8.1,1.61,3.8,44.0%,43.1%,4.0%,4.5%,38.1%,54.1%,36.4%,6.7,2.9,83.0,120.6,32-26,55.2%,55.9%,57.5%,187,4.6%,255,6.3%,15.3%,58.5%,63.8%,44.7%,52.7%,64.0%,6.6,2.9
41,Linda Noskova [CZE],46,1.00,5942,50.3%,16,07-9,43.8%,14.8%,108,58-50,53.7%,897,460-437,51.3%,01:30,38.2,41.6,45.6%,146,320,0.72,3.0,7.0,1.35,3.2,57.4%,183,319,0.71,3.0,6.9,1.26,3.0,41.8%,41.4%,7.5%,6.0%,34.2%,53.4%,32.7%,6.4,2.7,70.0,78.0,26-20,56.5%,58.1%,59.4%,142,4.6%,164,5.3%,14.0%,61.8%,65.8%,45.7%,53.1%,69.8%,6.8,2.9
42,Marta Kostyuk [UKR],48,1.00,6499,50.1%,14,08-6,57.1%,12.4%,113,59-54,52.2%,963,489-474,50.8%,01:34,40.0,41.8,42.2%,167,396,0.83,3.5,8.3,1.48,3.5,54.0%,189,350,0.72,3.1,7.3,1.42,3.4,43.5%,41.8%,1.9%,4.3%,37.9%,53.2%,34.8%,6.8,3.0,40.0,67.5,26-22,54.2%,56.7%,59.7%,147,4.5%,265,8.2%,19.2%,57.6%,66.7%,43.1%,53.3%,66.7%,6.7,2.9
43,Peyton Stearns [USA],56,1.03,4358,50.9%,11,08-3,72.7%,8.7%,127,85-42,66.9%,646,337-309,52.2%,00:55,24.4,42.7,48.5%,127,262,0.82,2.1,4.7,1.00,2.3,58.5%,166,284,0.87,2.2,5.1,0.93,2.1,45.4%,44.5%,5.1%,5.9%,37.8%,59.7%,39.9%,6.7,3.0,145.0,160.2,40-16,71.4%,56.0%,57.7%,39,1.7%,93,4.1%,13.6%,69.4%,59.8%,47.3%,54.7%,64.0%,6.8,3.0
44,Varvara Gracheva [FRA],58,1.05,8094,51.2%,16,07-9,43.8%,12.0%,133,73-60,54.9%,1226,643-583,52.4%,01:36,41.7,41.1,50.6%,216,427,0.70,3.2,7.4,1.62,3.7,56.0%,244,436,0.70,3.3,7.5,1.44,3.3,43.9%,42.8%,3.3%,4.4%,37.1%,54.9%,35.6%,6.5,2.9,79.0,99.3,32-26,55.2%,58.1%,59.7%,91,2.2%,176,4.2%,11.2%,62.3%,64.2%,48.0%,54.1%,69.0%,6.7,2.8
45,Alycia Parks [USA],45,0.97,6460,49.5%,16,12-4,75.0%,15.2%,105,53-52,50.5%,1001,485-516,48.5%,01:43,44.2,43.1,41.1%,115,280,0.56,2.7,6.2,1.10,2.6,58.8%,191,325,0.64,3.1,7.2,1.28,3.0,38.3%,36.0%,2.7%,5.1%,31.3%,50.1%,23.1%,6.5,2.5,82.0,84.1,24-21,53.3%,60.6%,63.6%,384,11.8%,372,11.4%,26.2%,56.4%,71.6%,46.4%,62.8%,73.4%,6.5,2.5
46,Lesia Tsurenko [UKR],32,1.05,3691,51.1%,4,02-2,50.0%,5.6%,71,43-28,60.6%,541,289-252,53.4%,01:19,35.8,41.3,51.4%,142,276,1.01,3.9,8.6,2.00,4.4,51.8%,131,253,0.94,3.6,7.9,1.72,3.8,50.5%,48.7%,1.8%,5.1%,45.9%,58.3%,52.2%,6.8,3.4,49.5,75.4,21-11,65.6%,51.7%,54.5%,2,0.1%,96,5.2%,15.8%,67.2%,56.5%,41.9%,49.8%,54.6%,6.9,3.3
47,Arantxa Rus [NED],51,0.97,2730,49.5%,10,06-4,60.0%,8.5%,118,78-40,66.1%,397,192-205,48.4%,00:51,22.2,57.5,38.4%,53,138,0.70,1.2,2.7,0.45,1.0,60.1%,92,153,0.77,1.3,3.0,0.52,1.2,41.4%,39.1%,2.7%,5.5%,36.2%,51.3%,26.9%,6.9,2.8,175.0,217.6,37-14,72.5%,57.3%,58.4%,48,3.5%,60,4.4%,13.5%,67.7%,61.5%,48.5%,56.1%,69.5%,6.9,2.9
48,Tatjana Maria [GER],68,1.09,7333,51.8%,11,03-8,27.3%,7.1%,156,93-63,59.6%,1136,617-519,54.3%,01:19,34.4,43.9,49.7%,229,461,0.83,3.0,6.8,1.47,3.4,51.0%,198,388,0.67,2.5,5.7,1.22,2.8,45.6%,43.5%,1.5%,4.8%,40.2%,55.4%,41.0%,6.6,3.0,137.0,176.8,41-27,60.3%,58.1%,57.7%,230,6.3%,145,4.0%,8.8%,54.8%,67.9%,46.1%,50.6%,67.1%,6.3,2.7
49,Emma Navarro [USA],72,1.04,5170,50.9%,9,05-4,55.6%,5.7%,158,102-56,64.6%,760,390-370,51.3%,00:52,23.9,43.8,47.1%,145,308,0.83,1.9,4.3,0.92,2.0,54.6%,171,313,0.81,2.0,4.3,0.90,2.0,45.8%,44.1%,3.2%,5.6%,40.5%,55.3%,38.9%,6.9,3.1,145.5,189.0,48-24,66.7%,55.8%,57.3%,50,1.9%,105,4.0%,10.4%,61.3%,60.9%,47.7%,53.3%,63.3%,6.7,3.0
50,Katie Boulter [GBR],42,1.07,2726,51.6%,12,07-5,58.3%,12.5%,96,61-35,63.5%,410,219-191,53.4%,00:48,21.2,44.8,44.9%,71,158,0.77,1.6,3.8,0.74,1.7,59.6%,84,141,0.69,1.5,3.4,0.59,1.4,43.6%,42.5%,4.5%,5.2%,37.1%,53.5%,34.6%,6.5,2.8,152.0,200.9,28-14,66.7%,59.3%,60.7%,80,5.8%,83,6.0%,14.1%,57.6%,69.9%,44.9%,52.3%,72.2%,6.8,2.8
